
#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
38,WC,West Champaran,Bettiah,"3,935,042","5,229",753

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,–,Balod,Balod,"826,165","3,527",234
2,–,Baloda Bazar,Baloda Bazar,"1,305,343","4,748",275
3,–,Balrampur,Balrampur,"598,855","3,806",157
4,BA,Bastar,Jagdalpur,"1,302,253","4,030",87
5,–,Bemetara,Bemetara,"197,035","2,855",69
6,BJ,Bijapur,Bijapur,"229,832","6,562",35
7,BI,Bilaspur,Bilaspur,"1,961,922","5,818",337
8,DA,Dantewada,Dantewada,"533,638","3,411",59
9,DH,Dhamtari,Dhamtari,"799,199","2,029",394
10,DU,Durg,Durg,"3,343,079","8,542",391
11,–,Gariaband,Gariaband,"597,653","5,823",103
12,–,Gaurella-Pendra-Marwahi,Gaurella,"336,420","2,307",166
13,JC,Janjgir-Champa,Naila Janjgir,"1,620,632","3,848",421
14,JA,Jashpur,Jashpur Nagar,"852,043","5,825",146
15,KW,Kabirdham,Kawardha,"584,667","4,237",195
16,KK,Kanker,Kanker,"748,593","6,513",115
17,–,Kondagaon,Kondagaon,"578,326",7769,74
18,KB,Korba,Korba,"1,206,563","6,615",183
19,KJ,Koriya,Baikunthpur,"659,039","6,578",100
20,MA,Mahasamund,Mahasamund,"1,032,275","4,779",216
21,–,Mungeli,Mungeli,"701,707","2,750",255
22,NR,Narayanpur,Narayanpur,"140,206","6,640",20
23,RG,Raigarh,Raigarh,"1,493,627","7,068",211
24,RP,Raipur,Raipur,"4,062,160","13,083",310
25,RN,Rajnandgaon,Rajnandgaon,"1,537,520","8,062",191
26,SK,Sukma,Sukma,"249,000","5,636",49
27,SJ,Surajpur,Surajpur,"660,280","6,787",150
28,SJ,Surguja,Ambikapur,"420,661","3,265",150

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,NG,North Goa,Panaji,"817,761","1,736",471
2,SG,South Goa,Margao,"639,962","1,966",326

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,AH,Ahmedabad,Ahmedabad,"7,208,200","8,707",890
2,AM,Amreli,Amreli,"1,513,614","6,760",205
3,AN,Anand,Anand,"2,090,276","2,942",711
4,AR,Aravalli,Modasa,"1,051,746","3,217",327
5,BK,Banaskantha,Palanpur,"3,116,045","12,703",290
6,BR,Bharuch,Bharuch,"1,550,822","6,524",238
7,BV,Bhavnagar,Bhavnagar,"2,877,961","11,155",288
8,BT,Botad,Botad,"656,005","2,564",256
9,CU,Chhota Udepur,Chhota Udepur,"1,071,831","3,237",331
10,DA,Dahod,Dahod,"2,126,558","3,642",582
11,DG,Dang,Ahwa,"226,769","1,764",129
12,DD,Devbhoomi Dwarka,Khambhalia,"752,484","5,684",132
13,GA,Gandhinagar,Gandhinagar,"1,387,478",649,660
14,GS,Gir Somnath,Veraval,"1,217,477","3,754",324
15,JA,Jamnagar,Jamnagar,"2,159,130","14,125",153
16,JU,Junagadh,Junagadh,"2,742,291","8,839",310
17,KH,Kheda,Nadiad,"2,298,934","4,215",541
18,KA,Kutch,Bhuj,"2,090,313","45,652",46
19,MH,Mahisagar,Lunavada,"994,624","2,500",398
20,MA,Mehsana,Mehsana,"2,027,727","4,386",462
21,MB,Morbi,Morbi,"960,329","4,871",197
22,NR,Narmada,Rajpipla,"590,379","2,749",214
23,NV,Navsari,Navsari,"1,330,711","2,211",602
24,PM,Panchmahal,Godhra,"2,388,267","5,219",458
25,PA,Patan,Patan,"1,342,746","5,738",234
26,PO,Porbandar,Porbandar,"586,062","2,294",255
27,RA,Rajkot,Rajkot,"3,157,676","11,203",282
28,SK,Sabarkantha,Himatnagar,"2,427,346","7,390",328
29,ST,Surat,Surat,"6,081,322","4,418",953
30,SN,Surendranagar,Surendranagar,"1,755,873","10,489",167
31,TA,Tapi,Vyara,"806,489","3,435",249
32,VD,Vadodara,Vadodara,"3,639,775","7,794",467
33,VL,Valsad,Valsad,"1,703,068","3,034",561

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,AM,Ambala,Ambala,"1,136,784","1,569",722
2,BH,Bhiwani,Bhiwani,"1,629,109","5,140",341
3,CD,Charkhi Dadri,Charkhi Dadri,"502,276",1370,367
4,FR,Faridabad,Faridabad,"1,798,954",783,"2,298"
5,FT,Fatehabad,Fatehabad,"941,522","2,538",371
6,GU,Gurgaon,Gurgaon,"1,514,085","1,258","1,241"
7,HI,Hissar,Hissar,"1,742,815","3,788",438
8,JH,Jhajjar,Jhajjar,"956,907","1,868",522
9,JI,Jind,Jind,"1,332,042","2,702",493
10,KT,Kaithal,Kaithal,"1,072,861","2,799",467
11,KR,Karnal,Karnal,"1,506,323","2,471",598
12,KU,Kurukshetra,Kurukshetra,"964,231","1,530",630
13,MA,Mahendragarh,Narnaul,"921,680","1,900",485
14,MW,Nuh,Nuh,"1,089,406","1,765",729
15,PW,Palwal,Palwal,"1,040,493","1,367",761
16,PK,Panchkula,Panchkula,"558,890",816,622
17,PP,Panipat,Panipat,"1,202,811","1,250",949
18,RE,Rewari,Rewari,"896,129","1,559",562
19,RO,Rohtak,Rohtak,"1,058,683","1,668",607
20,SI,Sirsa,Sirsa,"1,295,114","4,276",303
21,SNP,Sonipat,Sonipat,"1,480,080","2,260",697
22,YN,Yamuna Nagar,Yamuna Nagar,"1,214,162","1,756",687

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,BI,Bilaspur,Bilaspur,"382,056","1,167",327
2,CH,Chamba,Chamba,"518,844","6,528",80
3,HA,Hamirpur,Hamirpur,"454,293","1,118",406
4,KA,Kangra,Dharamshala,"1,507,223","5,739",263
5,KI,Kinnaur,Reckong Peo,"84,298","6,401",13
6,KU,Kullu,Kullu,"437,474","5,503",79
7,LS,Lahaul and Spiti,Keylong,"31,528","13,835",2
8,MA,Mandi,Mandi,"999,518","3,950",253
9,SH,Shimla,Shimla,"813,384","5,131",159
10,SI,Sirmaur,Nahan,"530,164","2,825",188
11,SO,Solan,Solan,"576,670","1,936",298
12,UN,Una,Una,"521,057","1,540",328

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,BO,Bokaro,Bokaro,"2,061,918","2,861",716
2,CH,Chatra,Chatra,"1,042,304","3,700",275
3,DE,Deoghar,Deoghar,"1,491,879","2,479",602
4,DH,Dhanbad,Dhanbad,"2,682,662","2,075","1,284"
5,DU,Dumka,Dumka,"1,321,096","4,404",300
6,ES,East Singhbhum,Jamshedpur,"2,291,032","3,533",648
7,GA,Garhwa,Garhwa,"1,322,387","4,064",327
8,GI,Giridih,Giridih,"2,445,203","4,887",497
9,GO,Godda,Godda,"1,311,382","2,110",622
10,GU,Gumla,Gumla,"1,025,656",5327,193
11,HA,Hazaribag,Hazaribag,"1,734,005","4,302",403
12,JA,Jamtara,Jamtara,"790,207","1,802",439
13,KH,Khunti,Khunti,"530,299","2,467",215
14,KO,Koderma,Koderma,"717,169","1,312",427
15,LA,Latehar,Latehar,"725,673","3,630",200
16,LO,Lohardaga,Lohardaga,"461,738","1,494",310
17,PK,Pakur,Pakur,"899,200","1,805",498
18,PL,Palamu,Daltonganj,"1,936,319","5,082",381
19,RM,Ramgarh,Ramgarh,"949,159","1,212",684
20,RA,Ranchi,Ranchi,"2,912,022","7,974",557
21,SA,Sahibganj,Sahebganj,"1,150,038","1,599",719
22,SK,Seraikela Kharsawan,Seraikela,"1,063,458","2,725",390
23,SI,Simdega,Simdega,"599,813","3,750",160
24,WS,West Singhbhum,Chaibasa,"1,501,619","7,186",209

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,BK,Bagalkot,Bagalkot,"1,890,826","6,583",288
2,BL,Ballari,Ballari,"2,532,383","8,439",300
3,BG,Belgaum,Belgaum,"4,778,439","13,415",356
4,BR,Bangalore Rural,Bangalore,"987,257","2,239",441
5,BN,Bangalore Urban,Bangalore,"9,588,910","2,190","4,378"
6,BD,Bidar,Bidar,"1,700,018","5,448",312
7,BJ,Bijapur,Bijapur,"2,175,102","10,517",207
8,CJ,Chamarajanagara,Chamarajanagara,"1,020,962","5,102",200
9,CK,Chikkaballapura,Chikkaballapura,"1,254,377","4,208",298
10,CK,Chikmagalur,Chikmagalur,"1,137,753","7,201",158
11,CT,Chitradurga,Chitradurga,"1,660,378","8,437",197
12,DK,Dakshina Kannada,Mangaluru,"2,083,625","4,559",457
13,DA,Davanagere,Davangere,"1,946,905","5,926",329
14,DH,Dharwad,Dharwad,"1,846,993","4,265",434
15,GA,Gadag,Gadag-Betageri,"1,065,235","4,651",229
16,GU,Gulbarga,Gulbarga,"2,564,892","10,990",233
17,HS,Hassan,Hassan,"1,776,221","6,814",261
18,HV,Haveri,Haveri,"1,598,506","4,825",331
19,KD,Kodagu,Madikeri,"554,762","4,102",135
20,KL,Kolar,Kolar,"1,540,231","4,012",384
21,KP,Koppal,Koppal,"1,391,292","5,565",250
22,MA,Mandya,Mandya,"1,808,680","4,961",365
23,MY,Mysore,Mysore,"2,994,744","6,854",437
24,RA,Raichur,Raichur,"1,924,773","6,839",228
25,RM,Ramanagara,Ramanagara,"1,082,739","3,573",303
26,SH,Shimoga,Shimoga,"1,755,512","8,495",207
27,TU,Tumakuru,Tumakuru,"2,681,449","10,598",253
28,UD,Udupi,Udupi,"1,177,908","3,879",304
29,UK,Uttara Kannada,Karwar,"1,353,299","10,291",132
30,,Vijayanagara,Hospete,"1,353,628","5,644",240
31,YG,Yadgir,Yadgir,"1,172,985","5,225",224

#,Code[5],District[6],Headquarters,Population (2011),Area (km²)[14],Density (/km²)[6]
1,AL,Alappuzha,Alappuzha,"2,121,943","1,415","1,501"
2,ER,Ernakulam,Kakkanad,"3,279,860","3,063","1,069"
3,ID,Idukki,Painavu,"1,107,453","4,356",254
4,KN,Kannur,Kannur,"2,525,637","2,961",852
5,KS,Kasaragod,Kasaragod,"1,302,600","1,989",654
6,KL,Kollam,Kollam,"2,629,703","2,483","1,056"
7,KT,Kottayam,Kottayam,"1,979,384","2,206",896
8,KZ,Kozhikode,Kozhikode,"3,089,543","2,345","1,318"
9,MA,Malappuram,Malappuram,"4,110,956","3,554","1,058"
10,PL,Palakkad,Palakkad,"2,810,892","4,482",627
11,PT,Pathanamthitta,Pathanamthitta,"1,195,537","2,652",453
12,TS,Thrissur,Thrissur,"3,110,327","3,027","1,026"
13,TV,Thiruvananthapuram,Thiruvananthapuram,"3,307,284","2,189","1,509"
14,WA,Wayanad,Kalpetta,"816,558","2,130",383

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,AG,Agar Malwa,Agar,–,"2,785",–
2,AL,Alirajpur,Alirajpur,"728,677","3,182",229
3,AP,Anuppur,Anuppur,"749,521","3,747",200
4,AS,Ashok Nagar,Ashok Nagar,"844,979","4,674",181
5,BL,Balaghat,Balaghat,"1,701,156","9,229",184
6,BR,Barwani,Barwani,"1,385,659","5,432",256
7,BE,Betul,Betul,"1,575,247","10,043",157
8,BD,Bhind,Bhind,"1,703,562","4,459",382
9,BP,Bhopal,Bhopal,"2,368,145","2,772",854
10,BU,Burhanpur,Burhanpur,"756,993","3,427",221
11,–,Chachaura-Binaganj,Chachaura,–,–,–
12,CT,Chhatarpur,Chhatarpur,"1,762,857","8,687",203
13,CN,Chhindwara,Chhindwara,"2,090,306","11,815",177
14,DM,Damoh,Damoh,"1,263,703","7,306",173
15,DT,Datia,Datia,"786,375","2,694",292
16,DE,Dewas,Dewas,"1,563,107","7,020",223
17,DH,Dhar,Dhar,"2,184,672","8,153",268
18,DI,Dindori,Dindori,"704,218","7,427",94
19,GU,Guna,Guna,"1,240,938","6,485",194
20,GW,Gwalior,Gwalior,"2,030,543","5,465",445
21,HA,Harda,Harda,"570,302","3,339",171
22,HO,Hoshangabad,Hoshangabad,"1,240,975","6,698",185
23,IN,Indore,Indore,"3,272,335","3,898",839
24,JA,Jabalpur,Jabalpur,"2,460,714","5,210",472
25,JH,Jhabua,Jhabua,"1,024,091","6,782",285
26,KA,Katni,Katni,"1,291,684","4,947",261
27,EN,Khandwa (East Nimar),Khandwa,"1,309,443","7,349",178
28,WN,Khargone (West Nimar),Khargone,"1,872,413","8,010",233
29,–,Maihar,Maihar,–,–,–
30,ML,Mandla,Mandla,"1,053,522","5,805",182
31,MS,Mandsaur,Mandsaur,"1,339,832","5,530",242
32,MO,Morena,Morena,"1,965,137","4,991",394
33,NA,Narsinghpur,Narsinghpur,"1,092,141","5,133",213
34,–,Nagda,Nagda,–,–,–
35,NE,Neemuch,Neemuch,"825,958","4,267",194
36,–,Niwari,Niwari,"404,807",1170,345
37,PA,Panna,Panna,"1,016,028","7,135",142
38,RS,Raisen,Raisen,"1,331,699","8,466",157
39,RG,Rajgarh,Rajgarh,"1,546,541","6,143",251
40,RL,Ratlam,Ratlam,"1,454,483","4,861",299
41,RE,Rewa,Rewa,"2,363,744","6,314",374
42,SG,Sagar,Sagar,"2,378,295","10,252",272
43,ST,Satna,Satna,"2,228,619","7,502",297
44,SR,Sehore,Sehore,"1,311,008","6,578",199
45,SO,Seoni,Seoni,"1,378,876","8,758",157
46,SH,Shahdol,Shahdol,"1,064,989","6,205",172
47,SJ,Shajapur,Shajapur,"1,512,353","6,196",244
48,SP,Sheopur,Sheopur,"687,952","6,585",104
49,SV,Shivpuri,Shivpuri,"1,725,818","10,290",168
50,SI,Sidhi,Sidhi,"1,126,515","10,520",232
51,SN,Singrauli,Waidhan,"1,178,132","5,672",208
52,TI,Tikamgarh,Tikamgarh,"1,444,920","5,055",286
53,UJ,Ujjain,Ujjain,"1,986,864","6,091",356
54,UM,Umaria,Umaria,"643,579","4,062",158
55,VI,Vidisha,Vidisha,"1,458,212","7,362",198

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,AH,Ahmednagar,Ahmednagar,"4,543,083","17,048",266
2,AK,Akola,Akola,"1,818,617","5,429",321
3,AM,Amravati,Amravati,"2,887,826","12,235",237
4,AU,Aurangabad,Aurangabad,"3,695,928","10,107",365
5,BI,Beed,Beed,"2,585,962","10,693",242
6,BH,Bhandara,Bhandara,"1,198,810","3,890",293
7,BU,Buldhana,Buldhana,"2,588,039","9,661",268
8,CH,Chandrapur,Chandrapur,"2,194,262","11,443",192
9,DH,Dhule,Dhule,"2,048,781","8,095",285
10,GA,Gadchiroli,Gadchiroli,"1,071,795","14,412",74
11,GO,Gondia,Gondia,"1,322,331","5,431",253
12,HI,Hingoli,Hingoli,"1,178,973","4,526",244
13,JG,Jalgaon,Jalgaon,"4,224,442","11,765",359
14,JN,Jalna,Jalna,"1,958,483","7,718",255
15,KO,Kolhapur,Kolhapur,"3,874,015","7,685",504
16,LA,Latur,Latur,"2,455,543","7,157",343
17,MC,Mumbai City,Mumbai,"3,145,966",69,"45,594"
18,MU,Mumbai suburban,Bandra (East),"9,332,481",369,"20,925"
19,ND,Nanded,Nanded,"3,356,566","10,528",319
20,NB,Nandurbar,Nandurbar,"1,646,177","5,055",276
21,NG,Nagpur,Nagpur,"4,653,171","9,892",470
22,NS,Nashik,Nashik,"6,109,052","15,539",393
23,OS,Osmanabad,Osmanabad,"1,660,311","7,569",219
24,PL,Palghar,Palghar,"2,990,116","5,344",560
25,PA,Parbhani,Parbhani,"1,835,982","6,511",295
26,PU,Pune,Pune,"9,426,959","15,643",603
27,RG,Raigad,Alibag,"2,635,394","7,152",368
28,RT,Ratnagiri,Ratnagiri,"1,612,672","8,208",196
29,SN,Sangli,Sangli,"2,820,575","8,572",329
30,ST,Satara,Satara,"3,003,922","10,475",287
31,SI,Sindhudurg,Oros,"848,868","5,207",163
32,SO,Solapur,Solapur,"4,315,527","14,895",290
33,TH,Thane,Thane,"11,060,148","4,214","1,157"
34,WR,Wardha,Wardha,"1,296,157","6,309",205
35,WS,Washim,Washim,"1,196,714","5,155",244
36,YA,Yavatmal,Yavatmal,"2,775,457","13,582",204

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,BPR,Bishnupur,Bishnupur,"240,363",496,415
2,CDL,Chandel,Chandel,"144,028","3,317",37
3,CCpr,Churachandpur,Churachandpur,"271,274","4,574",50
4,IE,Imphal East,Porompat,"452,661",710,555
5,IW,Imphal West,Lamphelpat,"514,683",519,847
6,JBM,Jiribam,Jiribam,"43,818",232,190
7,KAK,Kakching,Kakching,"135,481",–,–
8,KJ,Kamjong,Kamjong,"45,616","2,000",23
9,KPI,Kangpokpi,Kangpokpi,–,–,–
10,NL,Noney,Noney (Longmai),–,–,–
11,PZ,Pherzawl,Pherzawl,"47,250","2,285",21
12,SE,Senapati,Senapati,"354,772","3,269",116
13,TML,Tamenglong,Tamenglong,"140,143","4,391",25
14,TNL,Tengnoupal,Tengnoupal,–,–,–
15,TBL,Thoubal,Thoubal,"420,517",514,713
16,UKR,Ukhrul,Ukhrul,"183,115","4,547",31

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,EG,East Garo Hills,Williamnagar,"317,618","2,603",121
2,EK,East Khasi Hills,Shillong,"824,059","2,752",292
3,–,East Jaintia Hills,Khliehriat,"122,436","2,115",58
4,–,North Garo Hills,Resubelpara,"118,325","1,113",106
5,RB,Ri Bhoi,Nongpoh,"258,380","2,378",109
6,SG,South Garo Hills,Baghmara,"142,574","1,850",77
7,–,South West Garo Hills,Ampati,"172,495",822,210
8,–,South West Khasi Hills,Mawkyrwat,"110,152","1,341",82
9,WG,West Jaintia Hills,Jowai,"270,352","1,693",160
10,WG,West Garo Hills,Tura,"642,923","3,714",173
11,WK,West Khasi Hills,Nongstoin,"385,601","5,247",73

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,AI,Aizawl,Aizawl,"404,054","3,577",113
2,CH,Champhai,Champhai,"125,370","3,168",39
3,-,Hnahthial,Hnahthial,–,–,–
4,-,Khawzawl,Khawzawl,–,–,–
5,KO,Kolasib,Kolasib,"83,054","1,386",60
6,LA,Lawngtlai,Lawngtlai,"117,444","2,519",46
7,LU,Lunglei,Lunglei,"154,094","4,572",34
8,MA,Mamit,Mamit,"85,757","2,967",28
9,SA,Saiha,Saiha,"56,366","1,414",40
10,-,Saitual,Saitual,–,–,–
11,SE,Serchhip,Serchhip,"64,875","1,424",46

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,DI,Dimapur,Dimapur,"379,769",926,410
2,KI,Kiphire,Kiphire,"74,033","1,255",66
3,KO,Kohima,Kohima,"270,063","1,041",213
4,LO,Longleng,Longleng,"50,593",885,89
5,MK,Mokokchung,Mokokchung,"193,171","1,615",120
6,MN,Mon,Mon,"259,604","1,786",145
7,–,Noklak,Noklak,"59,300","1,152",51
8,PE,Peren,Peren,"163,294","2,300",55
9,PH,Phek,Phek,"163,294","2,026",81
10,TU,Tuensang,Tuensang,"414,801","4,228",98
11,WO,Wokha,Wokha,"166,239","1,628",120
12,ZU,Zunheboto,Zunheboto,"141,014","1,255",112

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,AN,Angul,Angul,"1,271,703","6,232",199
2,BD,Boudh (Bauda),Boudh,"439,917","3,098",142
3,BH,Bhadrak,Bhadrak,"1,506,522","2,505",601
4,BL,Balangir,Balangir,"1,648,574","6,575",251
5,BR,Bargarh (Baragarh),Bargarh,"1,478,833","5,837",253
6,BW,Balasore,Balasore,"2,317,419","3,634",609
7,CU,Cuttack,Cuttack,"2,618,708","3,932",666
8,DE,Debagarh (Deogarh),Debagarh,"312,164","2,781",106
9,DH,Dhenkanal,Dhenkanal,"1,192,948","4,452",268
10,GN,Ganjam,Chhatrapur,"3,520,151","8,070.6",429
11,GP,Gajapati,Paralakhemundi,"575,880","3,850",133
12,JH,Jharsuguda,Jharsuguda,"579,499","2,081",274
13,JP,Jajpur,Panikoili,"1,826,275","2,888",630
14,JS,Jagatsinghpur,Jagatsinghpur,"1,136,604","1,759",681
15,KH,Khordha,Khordha,"2,246,341","2,887.5",799
16,KJ,Kendujhar (Keonjhar),Kendujhar,"1,802,777","8,240",217
17,KL,Kalahandi,Bhawanipatna,"1,573,054","7,920",199
18,KN,Kandhamal,Phulbani,"731,952","8,021",91
19,KO,Koraput,Koraput,"1,376,934","8,807",156
20,KP,Kendrapara,Kendrapara,"1,439,891","2,644",545
21,ML,Malkangiri,Malkangiri,"612,727","5,791",106
22,MY,Mayurbhanj,Baripada,"2,513,895","10,418",241
23,NB,Nabarangpur,Nabarangpur,"1,218,762","5,294",230
24,NU,Nuapada,Nuapada,"606,490","3,408",157
